Mejor Posicion de la Particula,Fitness de la Particula,Minimo Numero de Infracciones
[  1.   1.   1.   1.   1.   1.   1.   1.   1. 100. 100. 100.   1.],-9.625222799776804,5.985479594110677
[  1.   1.   1.   1.   1.   1.   1.   1.   1. 100. 100. 100.   1.],-24.460840177638723,231.36936314604193
[  1.   1.   1.   1.   1.   1.   1.   1.   1. 100. 100. 100.   1.],-47.29853217399578,3769.0030857335364
[  1.   1.   1.   1.   1.   1.   1.   1.   1. 100. 100. 100.   1.],-15.878366832772716,150.9491200573012
[  1.   1.   1.   1.   1.   1.   1.   1.   1. 100. 100. 100.   1.],-40.58165014354918,2598.954927922225
[  1.   1.   1.   1.   1.   1.   1.   1.   1. 100. 100. 100.   1.],-21.803357079173576,356.21780530620873
[  1.   1.   1.   1.   1.   1.   1.   1.   1. 100. 100. 100.   1.],-7.365088971656052,17.555346041582993
"[  1.           1.           1.           1.           1.
   1.           1.           1.           1.         100.
 100.          93.85335948   1.        ]",-39.704323306701994,1951.6643074674616
[  1.   1.   1.   1.   1.   1.   1.   1.   1. 100. 100. 100.   1.],-7.994147817953305,0.0
"[  1.          1.          1.          1.          1.          1.
   1.          1.          1.        100.         95.2359219 100.
   1.       ]",-4.873858690063586,0.0
[  1.   1.   1.   1.   1.   1.   1.   1.   1. 100. 100. 100.   1.],-13.186840210592784,131.69677179259173
[  1.   1.   1.   1.   1.   1.   1.   1.   1. 100. 100. 100.   1.],-25.035326766041734,627.2039989205327
[  1.   1.   1.   1.   1.   1.   1.   1.   1. 100. 100. 100.   1.],-43.974658069249145,1702.2534594376896
"[  1.           1.           1.           1.           0.91875144
   1.           1.           1.           1.         100.
 100.         100.           1.        ]",-6.7428584038964345,0.0
"[  1.           1.           1.           1.           1.
   1.           1.           1.           0.96291606 100.
 100.         100.           1.        ]",-3.2848725564701144,0.0
[  1.   1.   1.   1.   1.   1.   1.   1.   1. 100. 100. 100.   1.],-28.87099689722016,1001.0800107583176
[  1.   1.   1.   1.   1.   1.   1.   1.   1. 100. 100. 100.   1.],-53.7041297846936,6238.507053539176
"[  0.64735923   0.84220696   1.           1.           1.
   1.           1.           1.           1.         100.
  97.73092487 100.           1.        ]",-41.62286840945332,2133.3593253317104
[  1.   1.   1.   1.   1.   1.   1.   1.   1. 100. 100. 100.   1.],-12.848410896266117,271.7984387015805
[  1.   1.   1.   1.   1.   1.   1.   1.   1. 100. 100. 100.   1.],-25.791420065026113,760.9157643091518
[  1.   1.   1.   1.   1.   1.   1.   1.   1. 100. 100. 100.   1.],-5.613189483054534,0.0
"[  0.9442033   1.          1.          1.          1.          1.
   1.          1.          1.        100.        100.        100.
   1.       ]",-2.991509160228511,0.18918847194068142
[  1.   1.   1.   1.   1.   1.   1.   1.   1. 100. 100. 100.   1.],-27.839449271043684,775.9890341418194
[  1.   1.   1.   1.   1.   1.   1.   1.   1. 100. 100. 100.   1.],-18.753696016477637,879.7371616677367
[  1.   1.   1.   1.   1.   1.   1.   1.   1. 100. 100. 100.   1.],-26.81326947811152,418.13968016230257
