Mejor Posicion de la Particula,Mejor Fitness de la Particula,Minimo Numero de Infracciones
"[ 0.30599511  0.2792485   0.56509022  0.29815653  0.51297716  0.34395037
  0.78206917  0.87966508  0.1007687  35.78699867 15.0131634  70.1040473
  0.57679262]",-12.26542614,72.52808569
"[ 0.89396574  0.6349255   0.63216519  0.55824069  0.82804857  0.9051815
  0.49739416  0.52311108  0.91020035 89.79417055 81.72698638 91.06785467
  0.83312229]",-10.21262877,13.10156878
"[ 0.69821958  0.84199819  0.49246019  0.30349273  0.16477873  0.22273775
  0.76439466  0.29293989  0.71993975 56.82745004 89.93429511 94.54441797
  0.51984642]",-6.141823049,17.00527274
"[9.85857729e-01 4.29109043e-01 7.85142590e-01 7.25305346e-01
 6.88063079e-01 1.82480860e-01 7.00869537e-02 1.64829717e-01
 2.44416642e-01 5.68871908e+01 6.98738960e+01 8.02057242e+01
 2.47148383e-01]",-8.733445998,12.78435587
"[ 0.89047326  0.9776705   0.90278052  0.29539233  0.91354129  0.4072384
  0.35619449  0.75702652  0.0833362  83.07411897 45.01351455 18.41463055
  0.98014193]",-13.37632308,74.50574081
"[4.79291268e-02 8.89615683e-01 7.75685219e-01 8.77729808e-02
 9.97153427e-01 6.22137089e-01 3.51594284e-01 1.59422648e-01
 9.88968226e-01 4.59308014e+01 4.96867825e+01 8.66838984e+01
 1.40876460e-01]",-7.745601532,5.475321326
"[ 0.11436228  0.83401585  0.45557921  0.69171781  0.870002    0.15367075
  0.683528    0.57900323  0.95317976 48.85777923 45.02410286 54.13203212
  0.34681312]",-11.46874514,45.14945118
"[ 0.42654051  0.99164803  0.88313309  0.7491196   0.58804171  0.95395386
  0.13663651  0.84986365  0.75598601 42.31617876 50.6009313   0.39294712
  0.94448942]",-8.862256449,20.44564066
"[ 0.40126226  0.94595694  0.57599018  0.92670587  0.08059333  0.89813739
  0.76648817  0.98706198  0.85603486 36.74774349  9.8074277  33.47948161
  0.9842734 ]",-10.59392024,51.46238799
"[3.80638346e-01 8.92987373e-01 8.49258837e-02 9.22779100e-01
 7.16152939e-01 6.90768866e-01 3.39375233e-03 6.46155802e-01
 3.42474709e-01 5.12396045e+01 3.12117850e+01 7.22857027e+01
 9.69052114e-01]",-11.2427312,18.61490662
"[ 0.85516913  0.3087823   0.96280258  0.36103315  0.51011643  0.3367549
  0.94985706  0.58216644  0.40101901 72.92481281 25.31378291 85.79238547
  0.7010838 ]",-10.94638327,14.63245711
"[ 0.42580797  0.75962987  0.97188937  0.62286807  0.95769432  0.4322891
  0.97304622  0.96155871  0.96044445 85.23391323 53.15023535 71.56683852
  0.9075913 ]",-4.031623427,1.114231548
"[5.82864367e-01 2.84887541e-01 1.38411071e-01 6.89564479e-01
 3.51677818e-01 5.88230153e-01 9.11798407e-01 3.55967519e-02
 4.14420601e-01 8.09826858e+01 7.15824034e+01 4.95670943e+01
 2.84907501e-02]",-11.80005777,28.30562015
"[2.37031272e-02 2.53249568e-01 7.79267289e-01 1.53190550e-01
 9.58302314e-01 9.46394817e-01 8.79247973e-01 7.69151139e-01
 5.32176448e-01 7.79510089e+01 8.82808597e+01 7.74810409e+01
 9.95568262e-01]",-9.745624186,12.16764574
"[7.35946786e-01 9.22236679e-01 6.78125519e-01 2.27996190e-02
 6.87993498e-02 7.48881056e-01 6.96379677e-01 7.57893588e-01
 2.34514028e-01 9.90786893e+01 3.67595048e-02 8.38687412e+01
 2.15842688e-01]",-6.789190048,14.8039234
"[ 0.90968725  0.1171444   0.39721861  0.11328882  0.4006723   0.30415415
  0.71143792  0.81122097  0.93330514 63.09348307 22.54738586 45.87019599
  0.47930777]",-13.32254625,35.2218017
"[ 0.97842024  0.87184601  0.72884942  0.26458935  0.48004133  0.68940247
  0.87114471  0.37641749  0.7671001  26.97139004 62.5023207  41.25904277
  0.76630075]",-16.44040174,50.80643077
"[9.66916721e-01 3.26053540e-01 2.57955485e-01 8.63600631e-01
 8.48151206e-01 5.65878914e-01 8.62302505e-01 1.66552049e-01
 6.05194801e-03 8.86814507e+01 5.88294635e+01 7.86057743e+01
 9.37921038e-01]",-9.825617333,5.936331536
"[ 0.90591666  0.741229    0.76809015  0.9978567   0.78338803  0.86002681
  0.62108303  0.57972327  0.70474536 50.34941628 95.65562602 77.50854205
  0.31072812]",-5.747094915,23.86283219
"[ 0.73684746  0.24767511  0.55369811  0.74553083  0.46944278  0.55285039
  0.30906435  0.49962502  0.71847659 67.0913212  93.95405791 63.02051051
  0.90839524]",-8.693179341,16.04515116
"[ 0.22453906  0.56399635  0.18895764  0.34298345  0.65424761  0.74563608
  0.97962716  0.70905226  0.48653213 87.66571707 94.05836604 88.92997076
  0.83580047]",-8.553379084,36.61673821
"[ 0.77828792  0.18622583  0.42478134  0.70500472  0.12157112  0.70545249
  0.44978237  0.40420287  0.64656555 74.03020946 87.50449982 68.29362533
  0.59368131]",-16.80239539,73.64131357
"[9.82424625e-01 5.67500958e-01 6.43354671e-01 9.28452124e-01
 4.80400558e-01 7.70015709e-01 6.11227507e-01 5.62660511e-01
 1.88589688e-02 9.75719299e+01 9.62092603e+01 8.41982002e+01
 4.61693806e-01]",-17.80669042,112.1729159
"[2.96931872e-01 2.64834178e-01 9.93730326e-01 9.93116252e-01
 7.73241185e-01 5.18479491e-02 7.46376036e-01 4.33255377e-01
 9.03753685e-01 9.48280373e+00 8.56820201e+01 6.68904618e+01
 7.26882265e-01]",-13.88866036,160.9345972
"[ 0.88595491  0.9350121   0.52809426  0.57470342  0.98668555  0.43275724
  0.9408749   0.69213245  0.67844001 96.10325384 71.48054195 79.91919948
  0.72709727]",-11.74854629,32.18457391
